SALES_ITEM_SK,SALES_ITEM_KEY,SALES_ITEM_DESC,SALES_ITEM_NM,SALES_ITEM_CATEGORY,PRODUCT_ITEM_NAME,PRODUCT_TYPE,MENU_TYPE,BUNDLE_TYPE,EVENT,DISCONTINUED_DATE,MODIFIED_TS,MEAT_BLOCK_FK,DIM_MARKET_FK
1042,913106,2COB + Whipped R +1HB + 1Apple,[Catering] SMRT C2,Chicken-on-bone,Classic COB,Permanent,Catering,Individual Meal,NULL,NULL,07:10.0,6,1
1043,913112,2 Pcs Chicken (original),2pcs COB,Chicken-on-bone,Classic COB,Permanent,LTO: LSM,Ala Carte,NULL,NULL,07:10.0,6,1
1044,913119,Lazada 10 pcs All-Chicken Bucket,10pcs All-Chicken Bucket (Lazada),Chicken-on-bone,Classic COB,Permanent,LTO: Partnership,Ala Carte,NULL,NULL,07:10.0,6,1
1045,913126,Chizza Buddy Meal - 2 Chizzas - 2 pcs Chicken (choice of O.R. / H.C.) - 1 Potato Winders - 1 med Whipped Potato,Chizza Buddy Meal,Portables,Chizza,LTO,LTO: New Product Launch,Buddy Meal,NULL,NULL,07:10.0,1,1
1046,913127,Spicy Sambal Rice Bucket Buddy Meal - 1 Spicy Sambal Rice Bucket - 3 pcs Chicken (choice of O.R. / H.C.) - 4 pcs Crispy Tenders (w/ 1 tub Sweet Mustard) - 1 med Whipped Potato,1 Sambal Rice Bucket Buddy Meal,Bowls & Rice,Sambal Rice Bucket,LTO,LTO: New Product Launch,Buddy Meal,NULL,NULL,07:10.0,1,1
1047,913128,Zinger Hearty Variety Box - 1 Zinger - 4 pcs Chicken (choice of O.R. / H.C.) - 4 pcs Crispy Tenders (w/ 1 tub Sweet Mustard) - 6 pcs Nuggets (w/ 1 tub BBQ Sauce) - 1 med Whipped Potato,1 Zinger + 4pcs (COB) Hearty Variety Box,Portables,Zinger Burger,Permanent,Permanent: Occasional,Group Meal,NULL,NULL,07:10.0,13,1
1048,913129,Pockett Bandito Hearty Variety Box - 1 Pockett Bandito - 4 pcs Chicken (choice of O.R. / H.C.) - 4 pcs Crispy Tenders (w/ 1 tub Sweet Mustard) - 6 pcs Nuggets (w/ 1 tub BBQ Sauce) - 1 med Whipped Potato,1 BBQ Pockett + 4pcs (COB) Hearty Variety Box,Portables,BBQ Pockett Bandito,Permanent,Permanent: Occasional,Group Meal,NULL,NULL,07:10.0,13,1
1049,913130,Cheesy BBQ Meltz Hearty Variety Box - 1 Cheesy BBQ Meltz - 4 pcs Chicken (choice of O.R. / H.C.) - 4 pcs Crispy Tenders (w/ 1 tub Sweet Mustard) - 6 pcs Nuggets (w/ 1 tub BBQ Sauce) - 1 med Whipped Potato,1 Cheesy BBQ + 4pcs (COB) Hearty Variety Box,Portables,Cheesy BBQ Meltz Bandito,LTO,Permanent: Occasional,Group Meal,NULL,NULL,07:10.0,13,1
1050,913131,Variety Feast - 8 pcs Chicken (choice of O.R. / H.C.) - 4 pcs Crispy Tenders (w/ 1 tub Sweet Mustard Sauce) - 12 pcs Nuggets (w/ 2 tubs BBQ Sauce) - 2 Potato Winders - 2 med Whipped Potato,8pcs Variety Feast (COB),Chicken-on-bone,Classic COB,Permanent,Permanent: Occasional,Group Meal,NULL,NULL,07:10.0,6,1
1051,913132,Mega Meal - 15 pcs Chicken - 12 pcs Nuggets (w/ 2 tubs BBQ Sauce) - 2 Popcorn Chicken - 4 med Whipped Potato,15pcs Mega Meal (COB),Chicken-on-bone,Classic COB,Permanent,Permanent: Occasional,Group Meal,NULL,NULL,07:10.0,6,1
1052,913133,XXL Feast - 20 pcs Chicken (choice of O.R. / H.C.) - 20 pcs Nuggets (w/ 3 tubs BBQ Sauce) - 3 Popcorn Chicken - 5 med Whipped Potato,20pcs XXL Feast (COB),Chicken-on-bone,Classic COB,Permanent,Permanent: Occasional,Group Meal,NULL,NULL,07:10.0,6,1
1053,913134,12 pcs All-Chicken Bucket  - 12 pcs Chicken (choice of O.R. / H.C.),12pcs Chicken Bucket,Chicken-on-bone,Classic COB,Permanent,Permanent: Standard,Ala Carte,NULL,NULL,07:10.0,6,1
1054,913135,20 pcs All-Chicken Bucket ,20pcs Chicken Bucket,Chicken-on-bone,Classic COB,Permanent,Permanent: Standard,Ala Carte,NULL,NULL,07:10.0,6,1
1055,913136,Chizza,1 Chizza,Portables,Chizza,LTO,LTO: New Product Launch,Ala Carte,NULL,NULL,07:10.0,1,1
1056,913137,Original Recipe Rice Bucket Buddy Meal - 1 Original Recipe Rice Bucket  - 3 pcs Chicken (choice of O.R. / H.C.) - 4 pcs Crispy Tenders (w/ 1 tub Sweet Mustard) - 1 med Whipped Potato,1 Original Rice Bucket Buddy Meal,Bowls & Rice,Original Rice Bowl,Permanent,LTO: Occasional,Buddy Meal,NULL,NULL,07:10.0,1,1
1057,913138,Curry Rice Bucket Buddy Meal - 1 Curry Rice Bucket - 3 pcs Chicken (choice of O.R. / H.C.) - 4 pcs Crispy Tenders (w/ 1 tub Sweet Mustard) - 1 med Whipped Potato,1 Curry Rice + 3pc (COB) Buddy Meal,Bowls & Rice,Curry Rice Bowl,LTO,LTO: New Product Launch,Buddy Meal,NULL,NULL,07:10.0,1,1
1058,913144,25 pcs Nuggets (w/ 4 tubs Smoky Chipotle BBQ Sauce),25pcs Nuggets,Non-COB Protein,Nugget,Permanent,LTO: Disruptive Value,Ala Carte,NULL,NULL,47:12.1,10,1
1059,913145,10 pcs Crispy Tenders (w/ 2 tubs Sweet Mustard Sauce + 1 Smoky BBQ Sauce ),10pcs Tender,Non-COB Protein,Hot & Crispy Tender,Permanent,LTO: Disruptive Value,Ala Carte,NULL,NULL,07:10.0,16,1
1060,913146,Super Value - 5 pcs Chicken (OR),5pcs (COB) Super Value,Chicken-on-bone,Classic COB,Permanent,LTO: Disruptive Value,Ala Carte,NULL,NULL,07:10.0,6,1
1061,913147,Super Value - 5 pcs Chicken (HC),5pcs (COB) Super Value,Chicken-on-bone,Classic COB,Permanent,LTO: Disruptive Value,Ala Carte,NULL,NULL,07:10.0,6,1
1062,913153,- 6 pcs Crispy Tenders - 1 tub Sweet Mustard - 1 tub Smoky Chipotle BBQ ,6pcs Tender (Buy 4 Get 2 Free),Non-COB Protein,Hot & Crispy Tender,Permanent,LTO: Disruptive Value,Ala Carte,NULL,NULL,07:10.0,16,1
1063,913159,Chizza Lazada Tied Up,1 Chizza (Lazada),Portables,Chizza,LTO,LTO: New Product Launch,Ala Carte,NULL,NULL,07:10.0,1,1
1064,913165,Chizza Teaser,1 Chizza ($3.50),Portables,Chizza,LTO,LTO: New Product Launch,Ala Carte,NULL,NULL,07:10.0,1,1
1065,913171,1P CHIZZA,1 Chizza (Coupon),Portables,Chizza,LTO,LTO: New Product Launch,Ala Carte,NULL,NULL,07:10.0,5,1
1066,913172,Value Coupon - 1 pc COB  - 2 pcs Crispy Tenders - 1 Rice (7 oz) - 1 reg Pepsi ,1pc COB (Coupon),Chicken-on-bone,Classic COB,Permanent,LTO: Disruptive Value,Ala Carte,NULL,NULL,07:10.0,6,1
1067,913174,Value Coupon - 2 pcs HC - 1 pc OR - 1 reg Whipped Potato  - 1 reg Pepsi,3pcs Wings Meal,Chicken-on-bone,Chicken Wing (COB),Permanent,LTO: LSM,Ala Carte,NULL,NULL,53:55.1,21,1
1068,913176,Value Coupon - 3 pcs HC - 2 pcs OR - 2 reg Whipped Potato  - 2 reg Pepsi ,5pcs Meal (Coupon),Chicken-on-bone,Classic COB,Permanent,LTO: LSM,Ala Carte,NULL,NULL,07:10.0,6,1
1069,913178,Value Coupon - 1 Zinger - 2 pcs HC - 1 pc OR - 2 reg Whipped Potato  - 2 reg Pepsi ,1 Zinger + 3pcs (COB) Buddy Meal (Coupon),Portables,Zinger Burger,Permanent,Permanent: Occasional,Buddy Meal,NULL,NULL,07:10.0,13,1
1070,913180,- 1 a.m. O.R. Twister - 1 Coffee,1 Twister Meal (Coffee),Burgers & Twisters,American/Original Recipe Twister,Permanent,LTO: Occasional,Individual Meal,NULL,NULL,47:12.1,15,1
1071,913181,- 1 a.m. O.R. Twister - 1 Tea ,1 Twister Meal (Tea),Burgers & Twisters,American/Original Recipe Twister,Permanent,LTO: Occasional,Individual Meal,NULL,NULL,47:12.1,15,1
1072,913182,- 1 a.m. American Twister  - 1 Coffee,1 A.M Twister Meal (Weekday Deal),Burgers & Twisters,American Twister,Permanent,LTO: Occasional,Individual Meal,NULL,NULL,07:10.0,1,1
1073,913183,- 1 a.m. American Twister  - 1 Tea,1 A.M Twister Meal (Weekday Deal),Burgers & Twisters,American Twister,Permanent,LTO: Occasional,Individual Meal,NULL,NULL,07:10.0,1,1
1074,913184,#NAME?,1 Potato Winders,Sides,Potato Winders,LTO,LTO: New Product Launch,Ala Carte,NULL,NULL,47:12.1,1,1
1075,913190,- 1 pc Chizza - 1 med Fries - 1 reg Pepsi ,Chizza Meal,Portables,Chizza,LTO,LTO: New Product Launch,Individual Meal,NULL,NULL,07:10.0,5,1
1076,913191,- 1 pc Chizza - 1 pc Chicken (OR) - 1 Potato Winders  - 1 reg Whipped Potato  - 1 reg Pepsi ,Chizza Box,Portables,Chizza,LTO,LTO: New Product Launch,Box Meal,NULL,NULL,07:10.0,5,1
1077,913192,- 8 OR - 2 Potato Winders  - 6 pcs Nuggets (w 1 tub Smoky Chipotle BBQ Sauce) - 1 med Coleslaw  - 2 med Whipped Potato  - 4 reg Pepsi ,8pcs Family Feast Meal (COB),Chicken-on-bone,Classic COB,Permanent,Permanent: Occasional,Group Meal,NULL,NULL,07:10.0,6,1
1078,913193,- 8 HC - 2 Potato Winders  - 6 pcs Nuggets (w 1 tub Smoky Chipotle BBQ Sauce) - 1 med Coleslaw  - 2 med Whipped Potato  - 4 reg Pepsi ,8pcs Family Feast Meal (COB),Chicken-on-bone,Classic COB,Permanent,Permanent: Occasional,Group Meal,NULL,NULL,07:10.0,6,1
1079,913194,Add On Cheese Fries,1 Cheese Fries,Sides,Cheese Fries,Permanent,Permanent: Standard,Add-on,NULL,NULL,47:12.1,1,1
1080,913195,Add On 1Egg Tart,1 Egg Tart,Sides,Egg Tart,Permanent,Permanent: Standard,Add-on,NULL,NULL,47:12.1,1,1
1081,913196,Add On 4Nuggets,4pcs Nuggets (Add On),Non-COB Protein,Nugget,Permanent,Permanent: Standard,Add-on,NULL,NULL,47:12.1,10,1
1082,913197,1 pc Chizza,1 Chizza,Portables,Chizza,LTO,LTO: New Product Launch,Ala Carte,NULL,NULL,07:10.0,5,1
1083,913198,1 Potato Winders,1 Potato Winders,Sides,Potato Winders,LTO,LTO: New Product Launch,Add-on,NULL,NULL,47:12.1,1,1
1084,913199,- 1 pc Chizza - 1 pc Chicken (HC) - 1 Potato Winders  - 1 reg Whipped Potato  - 1 reg Pepsi ,Chizza Box,Portables,Chizza,LTO,LTO: New Product Launch,Box Meal,NULL,NULL,07:10.0,5,1
1085,913200,- 1 pc Chizza - 1 med Fries - 1 reg Pepsi ,Chizza Meal,Portables,Chizza,LTO,LTO: New Product Launch,Individual Meal,NULL,NULL,07:10.0,5,1
1086,913201,- 1 pc Chizza - 1 pc Chicken (OR) - 1 Potato Winders  - 1 reg Whipped Potato  - 1 reg Pepsi ,Chizza Box,Portables,Chizza,LTO,LTO: New Product Launch,Box Meal,NULL,NULL,07:10.0,5,1
1087,913202,- 1 pc Chizza - 1 pc Chicken (HC) - 1 Potato Winders  - 1 reg Whipped Potato  - 1 reg Pepsi ,Chizza Box,Portables,Chizza,LTO,LTO: New Product Launch,Box Meal,NULL,NULL,07:10.0,5,1
1088,913203,- 8 OR - 2 Potato Winders  - 6 pcs Nuggets (w 1 tub Smoky Chipotle BBQ Sauce) - 1 med Coleslaw  - 2 med Whipped Potato  - 4 reg Pepsi ,8pcs Family Feast Meal (COB),Chicken-on-bone,Classic COB,Permanent,Permanent: Occasional,Group Meal,NULL,NULL,07:10.0,6,1
1089,913204,- 8 HC - 2 Potato Winders  - 6 pcs Nuggets (w 1 tub Smoky Chipotle BBQ Sauce) - 1 med Coleslaw  - 2 med Whipped Potato  - 4 reg Pepsi ,8pcs Family Feast Meal (COB),Chicken-on-bone,Classic COB,Permanent,Permanent: Occasional,Group Meal,NULL,NULL,07:10.0,6,1
1090,913210,(Blogger Redemption) - 1 pc Chizza - 1 pc Chicken - 1 Potato Winders  - 1 reg Whipped Potato  - 1 reg Pepsi ,Chizza Box,Portables,Chizza,LTO,LTO: New Product Launch,Box Meal,NULL,NULL,07:10.0,5,1
1091,913216,Reg Pepsi > Med Sjora,Sjora (Med),Beverage,Sjora Mango Peach,Permanent,Permanent: Standard,Change,NULL,NULL,07:10.0,1,1
1092,913222,- 5pcs OR - 5pcs HC,10pcs All-Chicken Bucket,Chicken-on-bone,Classic COB,Permanent,Permanent: Occasional,Ala Carte,NULL,NULL,07:10.0,6,1
1093,913223,Famous Bowl Buddy Meal - 4 pcs Chicken (choice of O.R. / H.C.) - 1 Famous Bowl - 4 Crispy Tenders (w/ 1 Sweet Mustard Sauce),Famous Bowl Buddy Meal,Bowls & Rice,Famous Potato Bowl,Permanent,Permanent: Occasional,Buddy Meal,NULL,NULL,07:10.0,1,1
1094,913224,Famous Bowl x 1,1 Famous Bowl,Bowls & Rice,Famous Potato Bowl,Permanent,Permanent: Value,Ala Carte,NULL,NULL,07:10.0,1,1
1095,913225,Exclusive Add-on - 4 pcs Nuggets (w/ 1 Smoky BBQ Sauce) - 2 med Whipped Potato,4 Nuggets (App Exclusive),Non-COB Protein,Nugget,Permanent,LTO: Occasional,Add-on,NULL,NULL,47:12.1,1,1
1096,913226,Exclusive Add-on (APP) - 4 pcs Nuggets (w/ 1 Smoky BBQ Sauce) - 2 med Whipped Potato,4 Nuggets (App Exclusive),Non-COB Protein,Nugget,Permanent,LTO: Occasional,Add-on,NULL,NULL,47:12.1,1,1
1097,913227,2 Zingers,2 Zinger Burger,Portables,Zinger Burger,Permanent,LTO: Disruptive Value,Add-on,NULL,NULL,47:12.1,13,1
1098,913229,2 Pockett Banditos,2 BBQ Pockett,Portables,BBQ Pockett Bandito,LTO,LTO: Occasional,Add-on,NULL,NULL,47:12.1,1,1
1099,913231,2 Popcorn Chicken,2 Popcorn Chicken,Non-COB Protein,Popcorn Chicken,Permanent,LTO: Occasional,Add-on,NULL,NULL,47:12.1,17,1
1100,913238,1 Famous Bowl ,1 Famous Potato Bowl,Bowls & Rice,Famous Potato Bowl,Permanent,Permanent: Value,Ala Carte,NULL,NULL,47:12.1,17,1
1101,913239,1 pc Chicken Meal (OR) - 1 Famous Bowl - 1 pc COB (choice of O.R. / H.C.) - 1 reg Pepsi (open for drink change / trade-up),Famous Potato Bowl Meal,Bowls & Rice,Famous Potato Bowl,Permanent,Permanent: Value,Individual Meal,NULL,NULL,47:12.1,17,1
1102,913240,1 pc Chicken Meal (HR) - 1 Famous Bowl - 1 pc COB (choice of O.R. / H.C.) - 1 reg Pepsi (open for drink change / trade-up),Famous Potato Bowl Meal,Bowls & Rice,Famous Potato Bowl,Permanent,Permanent: Value,Individual Meal,NULL,NULL,47:12.1,17,1
1103,913241,1 Colonel Burger,1 Colonel Burger,Portables,Colonel Burger,Permanent,Permanent: Value,Ala Carte,NULL,NULL,07:10.0,15,1
1104,913242,Colonel Burger Meal - 1 Colonel Burger (open for add on Sliced Cheese) - 1 reg Fries (open for Sides change / trade-up) - 1 reg Pepsi (open for drink change / trade-up),1 Colonel Burger Meal,Portables,Colonel Burger,Permanent,Permanent: Value,Individual Meal,NULL,NULL,07:10.0,15,1
1105,913243,(T1 key) - 1 Famous Bowl - 1 pc COB OR - 1 med Pepsi ,Famous Potato Bowl Meal,Bowls & Rice,Famous Potato Bowl,Permanent,Permanent: Value,Individual Meal,NULL,NULL,47:12.1,17,1
1106,913244,(T1 Key) - 1 Famous Bowl - 1 pc COB HC - 1 med Pepsi ,Famous Potato Bowl Meal,Bowls & Rice,Famous Potato Bowl,Permanent,Permanent: Value,Individual Meal,NULL,NULL,47:12.1,17,1
1107,913245,(T1 Key) - 1 Colonel Burger  - 1 reg Fries  - 1 med Pepsi,1 Colonel Burger Meal,Portables,Colonel Burger,Permanent,Permanent: Value,Individual Meal,NULL,NULL,07:10.0,15,1
1108,913248,Add-on 1 Scoop Scrambled Egg,Scrambled Egg,Breakfast Sides,Scrambled Egg,Permanent,Permanent: Standard,Add-on,NULL,NULL,47:12.1,1,1
1109,913254,- 2 Chizzas - 1 pc OR - 1 pc HC - 1 med Fries - 1 med Whipped Potato,Chizza Buddy Meal,Portables,Chizza,LTO,LTO: New Product Launch,Buddy Meal,NULL,NULL,07:10.0,1,1
1110,913255,- 4 pcs OR -4 pcs HC - 4 pcs Crispy Tenders (w/ 1 tub Sweet Mustard Sauce) - 12 pcs Nuggets (w/ 2 tubs BBQ Sauce) - 2 med Fries - 2 med Whipped Potato,8pcs Variety Feast (COB),Chicken-on-bone,Classic COB,Permanent,Permanent: Occasional,Group Meal,NULL,NULL,07:10.0,6,1
1111,913256,- 4 pcs OR - 4 pcs HC - 4 pcs Crispy Tenders (w/ 1 tub Sweet Mustard Sauce) - 12 pcs Nuggets (w/ 2 tubs BBQ Sauce) - 4 med Whipped Potato,8pcs Variety Feast (COB),Chicken-on-bone,Classic COB,Permanent,Permanent: Occasional,Group Meal,NULL,NULL,07:10.0,6,1
1112,913262,- 2 pcs SS - 1 reg Whipped Potato  - 1 reg Coleslaw  - 1 reg Sjora ,2pcs Meal (Shoyo Sansho),Chicken-on-bone,Shoyu Sansho Chicken,LTO,LTO: New Product Launch,Individual Meal,NULL,NULL,53:55.1,21,1
1113,913263,(T1/TAKA)- 2 pcs SS - 1 reg Whipped Potato  - 1 reg Coleslaw  - 1 reg Sjora ,2pcs Meal (Shoyo Sansho),Chicken-on-bone,Shoyu Sansho Chicken,LTO,LTO: New Product Launch,Individual Meal,NULL,NULL,53:55.1,21,1
1114,913264,- 2 pcs SS - 2 pcs Crispy Tenders - 2 pcs Cheese Poppers - 1 reg Whipped Potato (open for Sides trade-up / change) - 1 reg Sj,2pcs Box (Shoyo Sansho),Chicken-on-bone,Shoyu Sansho Chicken,LTO,LTO: New Product Launch,Box Meal,NULL,NULL,53:55.1,21,1
1115,913265,(T1/TA)'- 2 pcs SS - 2 pcs Crispy Tenders - 2 pcs Cheese Poppers - 1 reg Whipped Potato (open for Sides trade-up / change) - 1 reg Sj,2pcs Box (Shoyo Sansho),Chicken-on-bone,Shoyu Sansho Chicken,LTO,LTO: New Product Launch,Box Meal,NULL,NULL,53:55.1,21,1
1116,913266,- 8 pcs SS - 8 pcs Cheesy Poppers - 12 pcs Nuggets - 2 med Whipped Potato  -  1 med Coleslaw - 4 reg Sjora ,8pcs Family Feast Meal (Shoyo Sansho),Chicken-on-bone,Shoyu Sansho Chicken,LTO,LTO: New Product Launch,Group Meal,NULL,NULL,53:55.1,21,1
1117,913267,(T1/TA)'- 8 pcs SS - 8 pcs Cheesy Poppers - 12 pcs Nuggets - 2 med Whipped Potato  -  1 med Coleslaw - 4 reg Sjora ,8pcs Family Feast Meal (Shoyo Sansho),Chicken-on-bone,Shoyu Sansho Chicken,LTO,LTO: New Product Launch,Group Meal,NULL,NULL,53:55.1,21,1
1118,913269,-1 pc Shoyu Sansho Chicken ,1pc Shoyo Sansho Chicken,Chicken-on-bone,Shoyu Sansho Chicken,LTO,LTO: New Product Launch,Add-on,NULL,NULL,53:55.1,21,1
1119,913270,-4 pcs Cheesy Poppers,4 Cheesy Poppers,Non-COB Protein,Cheesy Poppers,LTO,LTO: New Product Launch,Ala Carte,NULL,NULL,07:10.0,1,1
1120,913271,-1pc Vanilla Custard Puff ,1 Vanila Custard Puff,Sides,Vanila Custard Puff,LTO,LTO: New Product Launch,Ala Carte,NULL,NULL,07:10.0,1,1
1121,913272,-6pc Vanilla Custard Puff ,6 Vanila Custard Puffs (Buy 5 Get 1 Free),Sides,Vanila Custard Puff,LTO,LTO: New Product Launch,Ala Carte,NULL,NULL,07:10.0,1,1
1122,913273,-1pc Shoyu SanSho Chicken,1pc Shoyo Sansho Chicken,Chicken-on-bone,Shoyu Sansho Chicken,LTO,LTO: New Product Launch,Ala Carte,NULL,NULL,53:55.1,21,1
1123,913274,-6pcs Cheese Poppers,6 Cheesy Poppers,Non-COB Protein,Cheesy Poppers,LTO,LTO: New Product Launch,Ala Carte,NULL,NULL,07:10.0,1,1
1124,913275,- 1 pc Shoyu Sansho Chicken  - 1 pc Vanilla Custard Puff,1pc Shoyo Sansho Chicken (Sample set),Chicken-on-bone,Shoyu Sansho Chicken,LTO,LTO: New Product Launch,Ala Carte,NULL,NULL,53:55.1,21,1
1125,913281,- 4 pcs SS - 4 pcs Cheese Poppers - 4 pcs Nuggets (w/ 1 tub BBQ Sauce) - 2 med Whipped Potato,4pcs Buddy Meal (Shoyu Sansho),Chicken-on-bone,Shoyu Sansho Chicken,LTO,LTO: New Product Launch,Buddy Meal,NULL,NULL,53:55.1,21,1
1126,913282,- 4 pcs SS - 1 Zinger - 6 pcs Cheese Poppers - 6 pcs Nuggets (w/ 1 tub BBQ Sauce) - 1 med Whipped Potato,4pcs (Shoyu Sansho) + 1 Zinger Hearty Variety,Chicken-on-bone,Shoyu Sansho Chicken,LTO,LTO: New Product Launch,Group Meal,NULL,NULL,53:55.1,21,1
1127,913283,- 4 pcs SS - 1 Pockett Bandito - 6 pcs Cheese Poppers - 6 pcs Nuggets (w/ 1 tub BBQ Sauce) - 1 med Whipped Potato,4pcs (Shoyu Sansho) + 1 Pockett Bandito Hearty Variety,Chicken-on-bone,Shoyu Sansho Chicken,LTO,LTO: New Product Launch,Group Meal,NULL,NULL,53:55.1,21,1
1128,913284,- 4 pcs SS - 1 Cheesy BBQ Meltz - 6 pcs Cheese Poppers - 6 pcs Nuggets (w/ 1 tub BBQ Sauce) - 1 med Whipped Potato,4pcs (Shoyu Sansho) + 1 Cheesy BBQ Meltz Hearty Variety,Chicken-on-bone,Shoyu Sansho Chicken,LTO,LTO: New Product Launch,Group Meal,NULL,NULL,53:55.1,21,1
1129,913285,- 8 pcs SS - 8 pcs Cheese Poppers - 9 pcs Nuggets (w/ 2 tubs BBQ Sauce) - 3 med Whipped Potato,8pcs Variety Feast (Shoyu Sansho) ,Chicken-on-bone,Shoyu Sansho Chicken,LTO,LTO: New Product Launch,Group Meal,NULL,NULL,53:55.1,21,1
1130,913286,-10 pcs SS -3 pcs HC -2 pcs OR - 12 pcs Nuggets (w/ 2 tubs BBQ Sauce) - 2 Popcorn Chicken - 4 med Whipped Potato,15pcs Mega Feast (Shoyu Sansho),Chicken-on-bone,Shoyu Sansho Chicken,LTO,LTO: New Product Launch,Group Meal,NULL,NULL,53:55.1,21,1
1131,913287,-12 pcs SS -4 pcs HC -4 pcs OR -20 pcs Nuggets -3 Popcorn Chicken -5 med Whipped Potato,20pcs XXL Feast (Shoyu Sansho),Chicken-on-bone,Shoyu Sansho Chicken,LTO,LTO: New Product Launch,Group Meal,NULL,NULL,53:55.1,21,1
1132,913288,-8 pcs SS -2 pcs HC -2 pcs OR,12pcs Chicken Bucket (Shoyu Sansho),Chicken-on-bone,Shoyu Sansho Chicken,LTO,LTO: New Product Launch,Ala Carte,NULL,NULL,53:55.1,21,1
1133,913289,-12 pcs SS -4 pcs HC -4 pcs OR,20pcs Chicken Bucket (Shoyu Sansho),Chicken-on-bone,Shoyu Sansho Chicken,LTO,LTO: New Product Launch,Ala Carte,NULL,NULL,53:55.1,21,1
1134,913290,1pc SS,1 Shoyu Sansho,Chicken-on-bone,Shoyu Sansho Chicken,LTO,LTO: New Product Launch,Ala Carte,NULL,NULL,53:55.1,21,1
1135,913291,-6 pcs Cheese Poppers,6 Cheese Poppers,Sides,Cheese Poppers,LTO,LTO: New Product Launch,Ala Carte,NULL,NULL,07:10.0,1,1
1136,913292,-2 pcs Cream Puff,2 Vanila Custard Puffs,Sides,Vanila Custard Puff,LTO,LTO: New Product Launch,Ala Carte,NULL,NULL,07:10.0,1,1
1137,913293,-1 pc SS (Lazada),1 Shoyu Sansho (Lazada),Chicken-on-bone,Shoyu Sansho Chicken,LTO,LTO: Partnership,Ala Carte,NULL,NULL,53:55.1,21,1
1138,913294,-6 pcs Cream Puff,6 Vanila Custard Puffs,Sides,Vanila Custard Puff,LTO,LTO: New Product Launch,Add-on,NULL,NULL,47:12.1,1,1
1139,913295,-6 pcs Cream Puff (APP),6 Vanila Custard Puffs,Sides,Vanila Custard Puff,LTO,LTO: New Product Launch,Add-on,NULL,NULL,47:12.1,1,1
1140,913296,-8 pcs Cheese Poppers,8 Cheese Poppers,Sides,Cheese Poppers,LTO,LTO: New Product Launch,Add-on,NULL,NULL,47:12.1,1,1
1141,913297,-8 pcs Cheese Poppers (APP),8 Cheese Poppers,Sides,Cheese Poppers,LTO,LTO: New Product Launch,Add-on,NULL,NULL,47:12.1,1,1
1142,913298,-2 Cheese Fries,2 Cheese Fries,Sides,Cheese Fries,Permanent,Permanent: Standard,Add-on,NULL,NULL,47:12.1,1,1
1143,913299,-2 Cheese Fries (APP),2 Cheese Fries,Sides,Cheese Fries,Permanent,Permanent: Standard,Add-on,NULL,NULL,47:12.1,1,1
1144,913303,Chizza Box (unlisted),Chizza Box,Portables,Chizza,LTO,LTO: New Product Launch,Box Meal,NULL,NULL,07:10.0,5,1
1145,913312,Natural Cup w/ Crushed Oreos,Froyo Cup w Topping (Crushed Oreos),Desserts,Froyo (Natural),Permanent,LTO: Disruptive Value,Ala Carte,NULL,NULL,07:10.0,1,1
1146,913313,Natural Cup w/ Peanut Butter Chips,Froyo Cup w Topping (Peanut Butter Chips),Desserts,Froyo (Natural),Permanent,LTO: Disruptive Value,Ala Carte,NULL,NULL,07:10.0,1,1
1147,913314,Natural Cup w/ Chocolate Chips,Froyo Cup w Topping (Chocolate Chips),Desserts,Froyo (Natural),Permanent,LTO: Disruptive Value,Ala Carte,NULL,NULL,07:10.0,1,1
1148,913315,Natural Cup w/ Froot Loops,Froyo Cup w Topping (Froot Loops),Desserts,Froyo (Natural),Permanent,LTO: Disruptive Value,Ala Carte,NULL,NULL,07:10.0,1,1
1149,913316,Natural Cup w/ Chocolate Sauce,Froyo Cup w Topping (Chocolate Sauce),Desserts,Froyo (Natural),Permanent,LTO: Disruptive Value,Ala Carte,NULL,NULL,07:10.0,1,1
1150,913317,Natural Cup w/ Strawberry Sauce,Froyo Cup w Topping (Strawberry Sauce),Desserts,Froyo (Natural),Permanent,LTO: Disruptive Value,Ala Carte,NULL,NULL,07:10.0,1,1
1151,913325,- 12 pcs Nuggets (w/ 2 tubs Smoky BBQ Sauce),12 Nuggets,Non-COB Protein,Nugget,Permanent,Permanent: Standard,Ala Carte,NULL,NULL,07:10.0,10,1
1152,913331,- 3 pcs Pancakes - Scrambled Eggs - 1 Hash Brown - 1 Coffee,1 Pancakes Meal ($3.50),Platters & Pancakes,Pancakes,Permanent,LTO: Occasional,Individual Meal,NULL,NULL,07:10.0,15,1
1153,913337,- 1 Cheese Fries,1 Cheese Fries (Free),Sides,Cheese Fries,Permanent,LTO: Disruptive Value,Ala Carte,NULL,NULL,07:10.0,1,1
1154,913338,- 6pcs Nuggets,6pcs Nuggets,Non-COB Protein,Nugget,Permanent,LTO: Disruptive Value,Ala Carte,NULL,NULL,47:12.1,10,1
1155,913339,- 1 OR,1pc COB (Free),Chicken-on-bone,Classic COB,Permanent,LTO: Disruptive Value,Ala Carte,NULL,NULL,07:10.0,6,1
1156,913346,- 2 Zinger - 1 OR - 2 HC  - 2 reg Fries - 2 reg Whipped Potato - 2 can Pepsi,2 Zinger Box (50% off for 2nd Purchase),Portables,Zinger Burger,Permanent,LTO: Disruptive Value,Box Meal,NULL,NULL,07:10.0,13,1
